  Nomme tes fichiers : chart_q001_avant.png · chart_q001_apres.png · chart_q001_explication.png  —  source_info est révélé uniquement à la fin du test.,,,,
question_id,url_avant,url_apres,url_explication,source_info
q-011,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q011_avant_uj056k.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q011_apres_tlcqh0.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q011_explication_i4ywwj.png,COMING SOON
q-012,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q012_avant_ztegzv.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q012_apres_ybeexk.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q012_explication_r3d82l.png,COMING SOON
q-013,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q013_avant_a7i06b.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q013_apres_wgsa9n.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q013_explication_iwk1kq.png,COMING SOON
q-014,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q014_avant_av0rog.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q014_apres_cexo7q.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q014_explication_jm8wx9.png,COMING SOON
q-015,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q015_avant_jymcoz.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q015_apres_nbuwwh.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q015_explication_xtkwiq.png,COMING SOON
q-016,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q016_avant_bhd0ea.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q016_apres_eprkvc.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q016_explication_fbonoi.png,COMING SOON
q-017,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q017_avant_gujili.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q017_apres_ytalmh.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q017_explication_f4k63p.png,COMING SOON
q-018,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q018_avant_ax06tb.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q018_apres_hkwihs.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q018_explication_lro3ka.png,COMING SOON
q-019,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q019_avant_dvo97m.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q019_apres_u0bnkc.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q019_explication_zwgnod.png,COMING SOON
q-020,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q020_avant_ya8pzy.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q020_apres_xyp0mw.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q020_explication_lyqk0c.png,COMING SOON
q-021,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q021_avant_iosi8t.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q021_apres_npglee.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q021_explication_xyvshg.png,COMING SOON
q-022,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q022_avant_i1cbz7.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q022_apres_ogtzzx.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q022_explication_zuj5kv.png,COMING SOON
q-023,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q023_avant_gcv2e0.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q023_apres_ebzlia.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q023_explication_cub2me.png,COMING SOON
q-024,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q024_avant_qdee5f.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q024_apres_slo207.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q024_explication_jpexr8.png,COMING SOON
q-025,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q025_avant_fn5u2f.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q025_apres_vcsl5a.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q025_explication_pp1nnd.png,COMING SOON
q-026,chart_q011_avant.png,chart_q011_apres.png,chart_q011_explication.png,
